gene_exp_ess.id,gene_exp_ess.name,entrez_gene_symbol
100753359,Eif3l,Eif3l
100769028,Eif3f,Eif3f
100689310,Eef1e1,Eef1e1
100689051,Eef2,Eef2
100771190,Eif3e,Eif3e
100753545,Eef1g,Eef1g
100766600,Eif3k,Eif3k
100762979,Eif3b,Eif3b
100768213,Eif3m,Eif3m
100753319,Eif3i,Eif3i
100689093,Pisd,Pisd
100750895,Atic,Atic
100758991,Paics,Paics
100752118,Eif3a,Eif3a
100751998,Eif3h,Eif3h
100760149,Ppat,Ppat
100760956,Pfas,Pfas
100689232,Cad,Cad
100756632,Dhodh,Dhodh
100763416,Mtr,Mtr
100756786,Umps,Umps
100758493,Pola1,Pola1
100762815,Pold2,Pold2
100774890,Rev3l,Rev3l
100751096,Poll,Poll
100773935,Pold1,Pold1
100753174,Rfc5,Rfc5
100756090,Pold3,Pold3
100774671,Pole,Pole
100768307,Pola2,Pola2
100763004,Eif3g,Eif3g
100774578,Kdsr,Kdsr
100689446,Gart,Gart
100762904,Acaca,Acaca
100756126,Gmps,Gmps
100689326,Sptlc1,Sptlc1
100767580,Hsd17b7,Hsd17b7
100756809,Agps,Agps
100766541,Mvd,Mvd
100773070,Cept1,Cept1
100765639,Ebp,Ebp
100756363,Hmgcr,Hmgcr
100689449,Pgs1,Pgs1
100762189,LOC100762189,LOC100762189
100761591,Rrm1,Rrm1
100751653,Mvk,Mvk
100759992,Pmvk,Pmvk
100689192,Fdft1,Fdft1
100764834,Sqle,Sqle
100765024,Gnpat,Gnpat
100763640,Ptpmt1,Ptpmt1
100689060,Adsl,Adsl
